x,y,id,symbol used to represent on map
    1453,1060,1,44
1473,1102,2,44
1453,1126,3,44
1425,1076,4,44
1428,1113,5,44
1435,1157,6,44
1384,1085,7,44
1388,1117,8,44
1343,1102,9,44
1394,1162,10,44
1062,1112,47,44
1044,1074,48,44
1002,1055,49,44
970,1032,50,44
948,1019,51,44
989,997,52,44
1023,1018,53,44
1063,1032,54,44
1089,1038,55,44
1082,1074,56,44
1119,961,71,44
1102,997,72,44
1140,935,73,44
1130,969,74,44
1126,1005,75,44
1123,1043,76,44
1119,1082,77,44
1170,947,78,44
1172,977,79,44
1170,1010,80,44
1168,1047,81,44
1166,1084,82,44
1207,1095,84,44
1249,1059,85,44
1207,996,86,44
1249,1086,87,44
1238,1053,88,44
1290,1072,89,44
1281,1041,90,44
1268,992,91,44
1246,938,92,44
1352,1041,94,44
1334,1064,95,44
1326,1032,96,44
1289,936,97,44
1313,995,98,44
1383,1052,99,44
1372,1019,100,44
1360,983,101,44
1398,931,103,44
1411,975,104,44
1419,1007,105,44
1429,1040,106,44
1462,965,107,44
1462,995,108,44
1473,1029,109,44
1488,1037,110,44
1452,929,111,44
1431,912,112,44
1460,894,113,44
1441,866,114,44
1465,853,115,44
1461,823,117,44
1461,742,121,44
1466,707,122,44
1473,672,123,44
1481,641,124,44
1486,609,125,44
1494,565,126,44
1496,534,127,44
1497,499,128,44
1486,480,129,44
1496,448,130,44
1463,455,131,44
1456,489,132,44
1429,465,133,44
1417,496,134,44
1396,457,135,44
1387,490,136,44
1364,456,137,44
1327,467,138,44
1349,490,139,44
1302,522,141,44
1281,554,142,44
1271,580,143,44
1518,477,1128,44
944,1305,0,20
958,1291,111,20
1207,1095,83,44
1455,789,119,44
1325,501,1040,44
1284,895,162,44
1313,894,163,44
1341,892,164,44
1369,887,165,44
1399,882,166,44
1411,850,170,44
1413,816,171,44
1415,780,172,44
1417,747,173,44
1429,708,174,44
1437,668,161,44
1442,637,160,44
1336,534,146,44
1365,558,147,44
1371,522,148,44
1392,533,149,44
1417,533,150,44
1467,510,151,44
1453,536,152,44
1447,566,153,44
1400,565,154,44
1423,577,155,44
1444,597,156,44
1353,594,157,44
1383,598,158,44
1412,609,159,44
1314,598,167,44
1282,643,168,44
1254,602,169,44
1184,791,TW37,44
1222,729,TW39,44
1154,767,TW40,44
1182,745,TW41,44
1196,710,T42,44
1368,782,LW732,44
1464.969,600.184,LW6B3,40
1215.543,804.929,TW55,44
1382.033,831.407,BH175,41
1399.475,644.924,BH180,41
1398.996,679.432,BH179,41
1382.209,718.565,BH178,41
1238.571,694.906,TW54,44
1376.694,794.497,BH176,41
1351.885,1044.22,NTW60,44
1245.293,1015.979,NTW58,44
1404.757,1099.187,NTW61,44
1285.482,1137.141,NTW59,44
1385.012,758.458,BH177,44
1054.79,1008.666,NTW56,44
1141.502,1111.149,NTW57,44
1030.26,1183.668,NTW55,44
1303,636.6,222,44
1329.9,666.05,220,44
1339.7,628.55,223,44
1352.24,596.3,225,44
1378.4,618.3,224,44
1291.7,647.6,219,44
1281.072,775.389,209,44
1292.298,808.673,205,44
1315.425,778.042,210,44
1319.49,840.855,233,44
1343.91,806.912,206,44
1357.437,835.567,232,44
1276.1,709.4,215,44
1315.9,702.6,216,44
1305.1,742.9,215,44
1258.1,743.8,212,44
1247.3,782.8,208,44
1257,820.8,204,44
1213.5,766.6,207,44
