x,y,count
944,1305,11.80
1453,1060,72.80
1473,1102,77
1453,1126,76.80
1425,1076,77.10
1428,1113,77.30
1435,1157,78.40
1384,1085,74.70
1388,1117,76.30
1343,1102,76.80
1394,1162,18.10
1062,1112,71.30
1044,1074,75.40
1002,1055,76.20
970,1032,76.80
948,1019,79.50
989,997,12.40
1023,1018,73.20
1063,1032,75.90
1089,1038,76.60
1082,1074,76.90
1431,912,29.20
1460,894,36.10
1441,866,30.50
1465,853,73
1461,823,6.30
1461,742,1.20
1284,895,12.70
1313,894,10.50
1341,892,10.60
1369,887,18.10
1382.03,831.41,4
1399,882,17.90
1352,1041,70.50
1334,1064,73.20
1326,1032,75.50
1289,936,71
1313,995,77.40
1383,1052,61.60
1383,1052,38.60
1360,983,72
1207,1095,22.70
1249,1059,30.50
1207,996,47.30
1249,1086,76.60
1238,1053,72.70
1290,1072,66.40
1281,1041,53.10
1268,992,51.20
1246,938,75.10
1281.83,848.97,35
1281.07,775.39,9.40
1292.30,808.67,70.80
1315.43,778.04,70.30
1319.49,840.86,25.40
1343.91,806.91,13.30
1357.44,835.57,26.60
1411,850,12.70
1413,816,1.80
1415,780,8.70
1417,747,8
1429,708,7.30
1437,668,1.80
1399,679.43,0.80
1367.80,658.20,0.50
1378.40,618.30,65.90
1442,637,4.40
1466,707,25.40
1473,672,0
1481,641,2.50
1486,609,33
1494,565,12
1496,534,71.60
1497,499,21.90
1518,477,25.40
1486,480,39.80
1412,609,40.80
1389.20,577,1
1423,577,18.40
1400,565,6.60
1447,566,66.10
1453,536,14.30
1496,448,72.30
1463,455,28.40
1467,510,47.50
1417,533,33.10
1456,489,4.60
1417,496,70.50
1387,490,74
1429,465,6.30
1396,457,71.10
1364,456,20.80
1349,490,21.80
1325,501,30.10
1327,467,58.60
1302,522,11.70
1336,534,13
1365,558,55.30
1314,598,9.70
1282,643,4.80
1281,554,7.10
1271,580,2.20
1254,602,7.40
1352.24,596.30,6
1339.70,628.55,4
1303,636.60,1.20
1329.90,666.05,1.80
1291.70,647.60,2.50
1382.21,718.57,70.30
1362.50,695.80,76.30
1388.80,728.20,8.90
1344.10,731.50,70.60
1348.60,769,0.40
1368,782,0
1385.70,768.30,2.20
1380.10,807.90,6.70
1238.57,694.91,3.50
1251.30,660.70,3.60
1276.10,709.40,1.60
1305.10,742.90,2.90
1247.30,782.80,5.60
1213.50,766.60,1.60
1222,729,7.40
1182,745,6
1184,791,4
1154,767,10.80
1018.178262,1109.399261,0
998.1007391,1107.391509,0
986.0542256,1097.352747,0
974.0077121,1083.298482,0
953.9301896,1073.25972,0
937.8681716,1063.220959,0
913.7751446,1047.158941,0
907.7518879,1023.065914,0
921.8061536,996.9651349,0
939.8759239,978.8953647,0
957.9456941,966.8488512,0
976.0154644,958.8178422,0
996.0929869,956.81009,0
1014.162757,964.841099,0
1032.232527,972.872108,0
1048.294545,970.8643557,0
1074.395325,966.8488512,0
1076.403077,958.8178422,0
1082.426334,948.779081,0
1090.457343,938.7403197,0
1100.496104,924.686054,0
1112.542617,912.6395405,0
1122.581379,902.6007792,0
1146.674406,894.5697702,0
1170.767433,898.5852747,0
1184.821698,906.6162837,0
1194.86046,910.6317882,0
1204.899221,920.6705495,0
1208.914725,920.6705495,0
1214.937982,912.6395405,0
1224.976743,898.5852747,0
1226.984496,888.5465135,0
1241.038761,892.562018,0
1243.046513,880.5155045,0
1243.046513,872.4844955,0
1235.015504,864.4534865,0
1226.984496,860.437982,0
1218.953487,852.406973,0
1202.891469,844.375964,0
1194.86046,836.344955,0
1178.798442,830.3216983,0
1170.767433,830.3216983,0
1164.744176,826.3061938,0
1154.705415,820.282937,0
1138.643397,804.220919,0
1130.612388,796.18991,0
1116.558122,782.1356443,0
1114.55037,760.0503696,0
1118.565874,752.0193606,0
1122.581379,739.9728471,0
1132.62014,729.9340858,0
1136.635644,727.9263336,0
1142.658901,721.9030768,0
1146.674406,717.8875723,0
1152.697662,709.8565633,0
1160.728671,701.8255543,0
1164.744176,693.7945453,0
1168.75968,689.7790408,0
1176.790689,681.7480318,0
1180.806194,671.7092706,0
1188.837203,667.6937661,0
1192.852707,667.6937661,0
1206.906973,663.6782616,0
1208.914725,657.6550049,0
1210.922478,651.6317481,0
1212.93023,643.6007391,0
1216.945734,633.5619779,0
1216.945734,621.5154644,0
1214.937982,611.4767031,0
1214.937982,595.4146851,0
1216.945734,575.3371626,0
1220.961239,569.3139059,0
1226.984496,559.2751446,0
1233.007752,545.2208789,0
1243.046513,537.1898699,0
1249.06977,527.1511087,0
1257.100779,515.1045952,0
1261.116284,505.0658339,0
1267.13954,497.0348249,0
1273.162797,486.9960637,0
1277.178302,478.9650547,0
1281.193806,468.9262934,0
1297.255824,448.848771,0
1287.217063,462.9030367,0
1303.279081,438.8100097,0
1321.348851,422.7479917,0
1337.410869,416.724735,0
1351.465135,414.7169827,0
1385.596923,412.7092305,0
1411.697702,424.755744,0
1429.767473,420.7402395,0
1451.852747,416.724735,0
1465.907013,414.7169827,0
1485.984536,412.7092305,0
1510.077563,412.7092305,0
1532.162837,428.7712485,0
1544.209351,438.8100097,0
1548.224855,458.8875322,0
1556.255864,476.9573024,0
1556.255864,482.9805592,0
1554.248112,497.0348249,0
1538.186094,517.1123474,0
1532.162837,529.1588609,0
1532.162837,567.3061536,0
1528.147333,587.3836761,0
1520.116324,609.4689509,0
1524.131828,659.6627571,0
1528.147333,627.5387211,0
1522.124076,661.6705094,0
1516.100819,685.7635363,0
1516.100819,709.8565633,0
1514.093067,735.9573426,0
1508.06981,729.9340858,0
1506.062058,768.0813786,0
1498.031049,778.1201398,0
1498.031049,792.1744055,0
1500.038801,806.2286713,0
1508.06981,824.2984415,0
1508.06981,850.3992208,0
1504.054306,864.4534865,0
1500.038801,886.5387612,0
1496.023297,918.6627972,0
1496.023297,936.7325675,0
1496.023297,960.8255945,0
1504.054306,976.8876125,0
1508.06981,992.9496304,0
1522.124076,1025.073666,0
1528.147333,1049.166693,0
1524.131828,1065.228711,0
1516.100819,1107.391509,0
1506.062058,1127.469031,0
1485.984536,1163.608572,0
