Asset Details,,,,,Heat Map Detail,,,Asset Property Values,,
Unique Identifier,Name,Location,Section,Monitor Class,X,Y,Symbol,Pump Volume,Well depth (mBTOC),Pump Install Depth (mBTOC)
1,Gas well,Suntown,Sump 3,Liquid Volume,536334.133,6909498.97,1,,,
59,Gas well,Suntown,Sump 3,Liquid Volume,536271.559,6909359.74,59,,,
60,Gas well,Suntown,Sump 3,Liquid Volume,,,60,,,
61,Gas well,Suntown,Sump 3,Liquid Volume,536273.995,6909316.42,61,,,
63,Gas well,Suntown,Sump 3,Liquid Volume,536274.662,6909265.56,63,,,
64,Gas well,Suntown,Sump 3,Liquid Volume,536269.746,6909235.36,64,,,
J001,Gas well,Suntown,GCS,Liquid Gauging,536491.274,6909481.53,J001,,16.0,
J002,Gas well,Suntown,Sump 3,Liquid Gauging,536529.068,6909474.41,J002,,17.5,15.5
J003,Gas well,Suntown,Sump 4,Liquid Gauging,536396.216,6909483.64,J003,,15.0,13.0
J004,Gas well,Suntown,GCS,Liquid Gauging,536434.023,6909470.38,J004,,16.0,
J005,Gas well,Suntown,Sump 4,Liquid Gauging,536471.446,6909456.03,J005,,17.0,15.0
J006,Gas well,Suntown,GCS,Liquid Gauging,536508.813,6909441.59,J006,,19.0,
J007,Gas well,Suntown,GCS,Liquid Gauging,536549.174,6909426.03,J007,,18.0,
J008,Gas well,Suntown,Sump 4,Liquid Gauging,536366.031,6909458.81,J008,,16.0,14.0
J009,Gas well,Suntown,GCS,Liquid Gauging,536403.218,6909443.44,J009,,17.0,
J010,Gas well,Suntown,Sump 4,Liquid Gauging,536440.06,6909429.27,J010,,18.5,16.5
J011,Gas well,Suntown,GCS,Liquid Gauging,536477.709,6909415.03,J011,,18.5,0.0
J012,Gas well,Suntown,Sump 3,Liquid Gauging,536514.42,6909402.03,J012,,20.0,18.0
J013,Gas well,Suntown,Sump 4,Liquid Gauging,536371.368,6909419.3,J013,,17.0,15.0
J014,Gas well,Suntown,Sump 4,Liquid Gauging,536408.208,6909404,J014,,18.0,16.0
J015,Gas well,Suntown,GCS,Liquid Gauging,536446.337,6909390.56,J015,,20.0,
J016,Gas well,Suntown,GCS,Liquid Gauging,536483.439,6909377.69,J016,,20.0,
J017,Gas well,Suntown,GCS,Liquid Gauging,536519.054,6909365.28,J017,,21.5,
J018,Gas well,Suntown,GCS,Liquid Gauging,536378.848,6909379.15,J018,,19.0,
J019,Gas well,Suntown,GCS,Liquid Gauging,536416.471,6909365.8,J019,,20.5,
J020,Gas well,Suntown,Sump 3,Liquid Gauging,536454.206,6909350.37,J020,,21.0,19.0
J021,Gas well,Suntown,GCS,Liquid Gauging,536486.935,6909339.74,J021,,20.0,
J022,Gas well,Suntown,Sump 4,Liquid Gauging,536384.298,6909339.98,J022,,22.0,20.0
J023,Gas well,Suntown,GCS,Liquid Gauging,536417.041,6909328.25,J023,,22.0,
J024,Gas well,Suntown,Sump 3,Liquid Gauging,536460.035,6909311.63,J024,,20.5,18.5
J025,Gas well,Suntown,Sump 3,Liquid Gauging,536495.139,6909298.65,J025,,20.5,18.5
J026,Gas well,Suntown,Sump 4,Liquid Gauging,536386.266,6909302.28,J026,,21.0,19.0
