Date,Time,GCS_Press_kPa,Blower_Speed_HZ,Methane_Percent,Stack_Temp_C,FLARE_RUN_Hr,Instan_Flow_M3_h,Total_Flow_M3,MTD_Gas_Flow_M3,MTD_CH4_Flow_M3,Log_In_Local,Log_In_Remote
27-03-14,00:00:00,-0.58125,22.0156,53.8438,903.656,906,160,133669,97327.5,49738.6,0,0
27-03-14,00:15:00,-0.571875,22.0156,53.2813,896.219,907,161,133709,97367.7,49760.1,0,0
27-03-14,00:30:00,-0.578125,22.0156,53.3438,900.469,907,160,133750,97407.9,49781.5,0,0
27-03-14,00:45:00,-0.553125,22.0156,54.3125,903.656,907,165,133790,97448.2,49803.4,0,0
27-03-14,01:00:00,-0.58125,22,53.7188,908.438,907,160,133830,97488.4,49825,0,0
27-03-14,01:15:00,-0.6125,22.0156,53.9375,897.813,908,159,133870,97528.5,49846.6,0,0
27-03-14,01:30:00,-0.59375,21.8125,53.8438,897.281,908,158,133910,97568.3,49868,0,0
27-03-14,01:45:00,-0.603125,21.7969,53.9063,901,908,158,133950,97608,49889.5,0,0
27-03-14,02:00:00,-0.6,21.8125,53.3438,901,908,161,133989,97647.8,49910.7,0,0
27-03-14,02:15:00,-0.58125,21.625,53.2813,910.563,909,158,134029,97687.1,49931.6,0,0
27-03-14,02:30:00,-0.6125,20.8594,53.4375,900.469,909,148,134067,97725.2,49952,0,0
27-03-14,02:45:00,-0.615625,20.8438,53.3438,897.813,909,149,134104,97762.8,49972,0,0
27-03-14,03:00:00,-0.609375,20.2344,53.8438,906.313,909,144,134141,97799.3,49991.7,0,0
27-03-14,03:15:00,-0.546875,20.25,53.9375,908.969,910,142,134177,97835,50010.9,0,0
27-03-14,03:30:00,-0.559375,20.25,53.9375,873.375,910,140,134212,97870.6,50030.2,0,0
27-03-14,03:45:00,-0.5875,20.25,53.2813,906.313,910,143,134248,97906.2,50049.1,0,0
27-03-14,04:00:00,-0.60625,20.2344,53.1563,891.438,910,140,134284,97941.9,50068.1,0,0
27-03-14,04:15:00,-0.5875,20.25,53.9063,915.344,911,141,134319,97977.6,50087.3,0,0
27-03-14,04:30:00,-0.55625,20.2656,53.4375,916.406,911,143,134355,98013.1,50106.3,0,0
27-03-14,04:45:00,-0.615625,20.0469,53.4688,926.5,911,141,134390,98048.6,50125.3,0,0
27-03-14,05:00:00,-0.56875,20.0469,53.2813,896.219,911,141,134425,98083.9,50144.1,0,0
27-03-14,05:15:00,-0.575,20.0469,53.3125,875.5,912,141,134460,98118.9,50162.7,0,0
27-03-14,05:30:00,-0.590625,20.0469,53.3125,890.906,912,141,134496,98153.9,50181.4,0,0
27-03-14,05:45:00,-0.603125,20.0313,52.9688,882.938,912,141,134531,98189.1,50200,0,0
27-03-14,06:00:00,-0.584375,20.0469,53.8438,882.406,912,141,134566,98224.2,50218.9,0,0
